label_id	ganglion_id	merged_bilateral_ganglion_id	ganglion_name	ganglion_name_short	gangliaColourScheme
746	14.0	7.0	frontal ganglion	FG	255-15-187-253
747	19.0		None	None	None
748	14.0	7.0	frontal ganglion	FG	255-15-187-253
749	14.0	7.0	frontal ganglion	FG	255-15-187-253
750	14.0	7.0	frontal ganglion	FG	255-15-187-253
751	19.0		None	None	None
752	19.0		None	None	None
753	9.0	5.0	antennal ganglia	AG	255-138-205-0
754	19.0		None	None	None
755	19.0		None	None	None
756	11.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
757	2.0	1.0	palpal ganglia	PG	255-181-131-84
758	19.0		None	None	None
759	2.0	1.0	palpal ganglia	PG	255-181-131-84
760	19.0		None	None	None
761	8.0	4.0	dorsal ganglion	DG	255-104-60-255
762	19.0		None	None	None
763	19.0		None	None	None
764	19.0		None	None	None
765	19.0		None	None	None
766	19.0		None	None	None
767	7.0	4.0	dorsal ganglion	DG	255-104-60-255
768	19.0		None	None	None
769	19.0		None	None	None
770	19.0		None	None	None
771	19.0		None	None	None
772	2.0	1.0	palpal ganglia	PG	255-181-131-84
773	10.0	5.0	antennal ganglia	AG	255-138-205-0
774	10.0	5.0	antennal ganglia	AG	255-138-205-0
775	19.0		None	None	None
776	10.0	5.0	antennal ganglia	AG	255-138-205-0
777	10.0	5.0	antennal ganglia	AG	255-138-205-0
778	10.0	5.0	antennal ganglia	AG	255-138-205-0
779	10.0	5.0	antennal ganglia	AG	255-138-205-0
780	19.0		None	None	None
781	10.0	5.0	antennal ganglia	AG	255-138-205-0
782	19.0		None	None	None
783	8.0	4.0	dorsal ganglion	DG	255-104-60-255
784	19.0		None	None	None
785	8.0	4.0	dorsal ganglion	DG	255-104-60-255
786	8.0	4.0	dorsal ganglion	DG	255-104-60-255
787	8.0	4.0	dorsal ganglion	DG	255-104-60-255
788	19.0		None	None	None
789	19.0		None	None	None
790	19.0		None	None	None
792	11.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
793	19.0		None	None	None
794	19.0		None	None	None
795	19.0		None	None	None
796	10.0	5.0	antennal ganglia	AG	255-138-205-0
797	19.0		None	None	None
798	10.0	5.0	antennal ganglia	AG	255-138-205-0
799	19.0		None	None	None
800	19.0		None	None	None
801	19.0		None	None	None
802	19.0		None	None	None
803	19.0		None	None	None
804	12.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
805	19.0		None	None	None
806	12.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
807	19.0		None	None	None
809	19.0		None	None	None
810	19.0		None	None	None
811	1.0	1.0	palpal ganglia	PG	255-181-131-84
812	12.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
813	19.0		None	None	None
814	19.0		None	None	None
815	19.0		None	None	None
817	19.0		None	None	None
818	12.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
819	19.0		None	None	None
821	19.0		None	None	None
822	19.0		None	None	None
823	19.0		None	None	None
824	1.0	1.0	palpal ganglia	PG	255-181-131-84
825	1.0	1.0	palpal ganglia	PG	255-181-131-84
826	1.0	1.0	palpal ganglia	PG	255-181-131-84
827	19.0		None	None	None
828	19.0		None	None	None
830	14.0	7.0	frontal ganglion	FG	255-15-187-253
831	14.0	7.0	frontal ganglion	FG	255-15-187-253
832	1.0	1.0	palpal ganglia	PG	255-181-131-84
833	19.0		None	None	None
834	9.0	5.0	antennal ganglia	AG	255-138-205-0
835	9.0	5.0	antennal ganglia	AG	255-138-205-0
836	19.0		None	None	None
837	19.0		None	None	None
838	19.0		None	None	None
842	19.0		None	None	None
843	19.0		None	None	None
844	19.0		None	None	None
845	19.0		None	None	None
846	2.0	1.0	palpal ganglia	PG	255-181-131-84
847	14.0	7.0	frontal ganglion	FG	255-15-187-253
